# Goxel 0.10.6
# One line per voxel
# X Y Z RRGGBB
-6 -6 23 6abe30
-5 -6 23 6abe30
-4 -6 23 6abe30
-3 -6 23 6abe30
-9 -5 23 6abe30
-8 -5 23 6abe30
-7 -5 23 6abe30
-6 -5 23 6abe30
-5 -5 23 6abe30
-4 -5 23 6abe30
-3 -5 23 6abe30
-10 -4 23 6abe30
-9 -4 23 6abe30
-8 -4 23 6abe30
-7 -4 23 6abe30
-6 -4 23 6abe30
-5 -4 23 6abe30
-4 -4 23 6abe30
-3 -4 23 6abe30
-9 -3 23 6abe30
-8 -3 23 6abe30
-7 -3 23 6abe30
-6 -3 23 6abe30
-5 -3 23 6abe30
-4 -3 23 6abe30
-3 -3 23 6abe30
-7 -2 23 6abe30
-6 -2 23 6abe30
-5 -2 23 6abe30
-4 -2 23 6abe30
-3 -2 23 6abe30
-4 -1 23 6abe30
-3 -1 23 6abe30
-9 -5 24 6abe30
-8 -5 24 6abe30
-7 -5 24 6abe30
-6 -5 24 6abe30
-5 -5 24 6abe30
-9 -4 24 6abe30
-8 -4 24 6abe30
-7 -4 24 6abe30
-6 -4 24 6abe30
-5 -4 24 6abe30
-4 -4 24 6abe30
-9 -3 24 6abe30
-8 -3 24 6abe30
-7 -3 24 6abe30
-6 -3 24 6abe30
-5 -3 24 6abe30
-4 -3 24 6abe30
-4 -2 24 6abe30
5 -15 16 cbdbfc
5 -14 16 cbdbfc
5 -13 16 ffffff
0 -5 16 eec39a
0 -4 16 000000
0 -3 16 000000
0 -2 16 eec39a
5 -15 17 cbdbfc
5 -14 17 cbdbfc
5 -13 17 ffffff
0 -5 17 eec39a
0 -4 17 eec39a
0 -3 17 eec39a
0 -2 17 eec39a
5 -15 18 cbdbfc
5 -14 18 cbdbfc
5 -13 18 ffffff
0 -7 18 df7126
1 -7 18 df7126
2 -7 18 df7126
3 -7 18 df7126
0 -6 18 eec39a
1 -6 18 df7126
0 -5 18 000000
0 -4 18 eec39a
0 -3 18 eec39a
0 -2 18 000000
0 -1 18 eec39a
5 -15 19 cbdbfc
5 -14 19 cbdbfc
5 -13 19 ffffff
0 -7 19 df7126
1 -7 19 df7126
2 -7 19 df7126
0 -6 19 df7126
1 -6 19 df7126
2 -6 19 df7126
0 -5 19 eec39a
1 -5 19 df7126
0 -4 19 eec39a
0 -3 19 eec39a
0 -2 19 eec39a
0 -1 19 df7126
5 -15 20 cbdbfc
5 -14 20 cbdbfc
5 -13 20 ffffff
0 -7 20 df7126
1 -7 20 df7126
0 -6 20 df7126
1 -6 20 df7126
0 -5 20 df7126
1 -5 20 df7126
0 -4 20 df7126
1 -4 20 df7126
0 -3 20 df7126
1 -3 20 df7126
0 -2 20 df7126
0 -1 20 df7126
5 -15 21 cbdbfc
5 -14 21 cbdbfc
5 -13 21 ffffff
0 -6 21 99e550
0 -5 21 99e550
0 -4 21 99e550
0 -3 21 99e550
0 -2 21 99e550
0 -1 21 99e550
5 -15 22 cbdbfc
5 -14 22 cbdbfc
5 -13 22 ffffff
5 -14 23 ffffff
-3 0 17 eec39a
-3 0 18 eec39a
